hora_ingreso,nro_registro_interno,situacion,origen,es_anonima,tema,subtema,provincia,localidad,via_ingreso,consultante_provincia,consultante_como_conocio_la_linea,consultante_edad_aparente,ingreso_anio,ingreso_mes,ingreso_dia
,1565845505,1,0,0,34,481,14,304,11,24,38,,2020,2,17
,3565845505,1,0,0,34,292,0,24,11,13,38,,2020,2,18
,4565845505,1,1,0,34,624,0,47,11,0,3,,2020,2,18
,5565845505,1,0,0,34,616,0,47,11,0,19,,2020,2,18
,2575845505,1,0,1,34,294,24,529,11,24,13,,2020,2,19
,4575845505,1,0,0,30,585,7,321,11,24,38,,2020,2,19
,7575845505,1,0,0,30,585,8,95,11,8,38,,2020,2,19
,8484945505,1,0,0,34,718,20,398,11,24,38,,2020,2,20
,9484945505,1,0,0,34,294,0,47,11,24,13,,2020,2,20
,584945505,1,0,0,34,424,24,529,2,24,13,,2020,2,20
,2584945505,1,0,1,34,294,24,529,11,24,13,,2020,2,20
,4584945505,1,0,0,34,481,0,395,11,24,13,,2020,2,20
,5584945505,1,0,1,34,668,0,47,11,24,13,,2020,2,20
,6584945505,1,0,1,34,452,24,529,11,24,22,,2020,2,20
,8494945505,1,0,0,34,506,0,47,11,24,13,,2020,2,21
,1594945505,1,0,0,34,290,24,529,11,24,38,,2020,2,21
,7594945505,1,0,0,34,481,0,256,11,0,38,,2020,2,22
,9405945505,1,0,0,35,599,24,529,11,24,38,,2020,2,23
,1505945505,1,0,0,34,585,0,247,11,24,38,,2020,2,23
,3505945505,1,0,0,34,7,0,47,11,24,38,,2020,2,23
,7505945505,1,0,0,32,192,5,112,11,24,38,,2020,2,23
,515945505,1,0,0,28,733,2,223,11,24,13,35.0,2020,2,24
,2515945505,1,0,0,34,294,0,512,11,24,22,28.0,2020,2,24
,3515945505,1,0,1,34,290,0,210,11,24,38,,2020,2,24
,4515945505,1,0,1,34,294,16,174,11,24,38,20.0,2020,2,25
,8425945505,1,0,1,34,452,24,529,2,24,22,,2020,2,25
,9425945505,1,0,0,34,481,0,47,11,24,19,75.0,2020,2,25
,3525945505,1,0,0,34,506,6,119,11,6,38,,2020,2,26
,5525945505,1,1,0,34,486,4,86,11,24,38,,2020,2,26
,9435945505,1,0,0,0,8,0,405,11,24,29,,2020,2,26
,1535945505,1,0,0,34,294,0,529,11,24,38,,2020,2,26
,2535945505,1,0,0,34,606,0,54,11,24,38,,2020,2,26
,4535945505,1,0,0,35,599,0,47,11,24,38,,2020,2,26
,1545945505,1,1,0,34,551,0,123,11,24,13,,2020,2,27
,5545945505,1,0,0,34,290,24,529,11,24,22,37.0,2020,2,27
,6545945505,1,0,0,34,506,24,529,11,24,22,35.0,2020,2,27
,8455945505,1,0,0,39,462,0,188,11,0,22,,2020,2,28
,555945505,1,0,1,35,556,0,203,11,0,19,,2020,2,28
,2555945505,1,0,0,34,294,22,458,11,24,13,,2020,2,28
,3555945505,1,0,0,34,400,20,372,11,24,10,,2020,2,28
,4565945505,1,0,0,39,173,21,427,11,24,19,45.0,2020,3,1
,8475945505,1,0,0,34,585,0,214,11,24,38,,2020,3,1
,2584055505,1,0,0,34,518,0,228,11,0,13,,2020,3,3
,4584055505,1,0,0,35,317,1,65,11,1,38,,2020,3,3
,8494055505,1,0,0,34,708,0,47,11,0,10,,2020,3,4
,1594055505,1,0,0,34,294,0,407,11,0,38,,2020,3,4
,3594055505,1,0,0,34,294,0,47,11,24,38,,2020,3,4
,4505055505,1,0,1,28,422,24,529,11,24,10,,2020,3,5
,5505055505,1,0,0,34,627,24,529,11,24,13,,2020,3,5
,9415055505,1,0,0,34,294,24,529,2,24,10,,2020,3,5
,515055505,1,0,0,34,535,20,163,11,24,38,,2020,3,5
,1515055505,1,0,0,34,481,0,524,11,24,38,,2020,3,5
,2515055505,1,0,0,34,742,3,529,11,24,38,,2020,3,5
,3515055505,1,0,0,34,290,5,195,11,24,38,,2020,3,5
,4515055505,1,0,0,30,585,0,47,11,24,38,,2020,3,5
,9425055505,1,0,0,34,487,8,95,11,24,13,,2020,3,6
,3525055505,1,0,0,34,294,0,407,11,24,38,,2020,3,6
,9435055505,1,0,0,34,294,0,214,11,22,19,,2020,3,7
,2535055505,1,0,0,34,506,0,274,11,0,22,30.0,2020,3,7
,5535055505,1,0,0,34,506,12,369,11,24,13,,2020,3,7
,2545055505,1,0,0,34,294,24,529,11,22,10,,2020,3,8
,4545055505,1,0,0,34,564,7,529,11,24,38,,2020,3,8
,5545055505,1,0,0,34,585,0,297,11,24,38,,2020,3,8
,1555055505,1,0,1,34,290,24,529,11,24,38,,2020,3,9
,565055505,1,0,0,34,294,0,47,11,24,38,,2020,3,10
,3565055505,1,0,0,34,50,9,217,11,24,4,33.0,2020,3,10
,5565055505,1,0,0,34,481,4,86,11,0,13,50.0,2020,3,10
,8475055505,1,0,0,34,506,24,529,11,0,22,,2020,3,10
,1575055505,1,0,0,34,506,0,529,11,0,13,,2020,3,10
,2575055505,1,0,1,0,8,0,47,11,24,21,,2020,3,10
,4575055505,1,0,0,34,506,0,310,11,0,13,,2020,3,10
,8484155505,1,0,1,2,619,24,529,11,24,23,,2020,3,11
,584155505,1,0,0,34,294,6,270,11,24,22,,2020,3,11
,1584155505,1,0,0,34,295,0,47,11,24,38,,2020,3,11
,4584155505,1,0,0,34,487,0,228,11,24,38,,2020,3,11
,6584155505,1,0,0,34,585,0,47,11,24,38,,2020,3,11
,8494155505,1,0,1,34,481,0,236,2,24,38,,2020,3,12
,9494155505,1,0,1,30,13,24,529,11,24,22,,2020,3,12
,1594155505,1,1,0,34,294,24,529,11,24,4,,2020,3,12
,6594155505,1,0,0,35,317,0,47,2,24,19,60.0,2020,3,12
,2505155505,1,0,1,34,295,0,157,11,24,38,,2020,3,13
,8415155505,1,0,1,39,174,12,282,11,24,13,,2020,3,13
,9415155505,1,0,0,34,506,4,86,11,24,19,39.0,2020,3,13
,2515155505,1,0,0,39,109,23,406,11,23,22,,2020,3,14
,6515155505,1,0,0,34,585,3,529,11,24,38,,2020,3,15
,7515155505,1,0,0,34,582,0,47,11,24,38,,2020,3,15
,9425155505,1,0,1,34,400,20,372,11,24,38,,2020,3,15
,525155505,1,0,0,30,118,0,47,12,24,38,,2020,3,15
,1525155505,1,0,0,30,118,0,47,12,24,38,,2020,3,15
,2525155505,1,0,0,34,479,11,231,11,24,38,,2020,3,15
,3525155505,1,0,0,30,118,0,46,12,24,38,,2020,3,15
,4525155505,1,0,0,34,179,0,251,11,0,22,25.0,2020,3,15
,2535155505,1,0,1,34,290,6,119,11,24,13,25.0,2020,3,17
,9445155505,1,0,0,30,585,0,41,11,24,38,,2020,3,18
,545155505,1,0,0,34,501,0,47,11,24,19,,2020,3,18
,1545155505,1,0,1,34,33,24,529,11,24,13,,2020,3,18
,4545155505,1,0,1,34,294,24,529,11,24,13,,2020,3,18
,6545155505,1,0,0,34,294,0,185,11,24,38,,2020,3,18
,8455155505,1,0,0,34,731,16,414,11,24,38,,2020,3,18
,555155505,0,0,1,39,170,24,529,11,24,38,,2020,3,19
,1555155505,1,0,0,28,195,0,54,11,24,38,,2020,3,19
,5555155505,1,0,0,39,179,23,406,11,24,38,,2020,3,20
,9465155505,1,0,1,30,179,0,297,11,24,38,,2020,3,21
,565155505,1,0,0,35,317,20,372,11,24,38,,2020,3,21
,1565155505,0,0,0,30,179,0,297,11,24,38,,2020,3,23
,6584255505,1,0,0,28,416,20,372,11,24,38,,2020,3,23
,7584255505,1,0,1,35,317,20,372,11,24,38,,2020,3,23
,8494255505,0,0,1,30,179,0,261,11,24,38,,2020,3,23
,9494255505,0,0,1,30,179,20,372,11,24,38,,2020,3,23
,594255505,0,0,1,30,179,0,251,11,24,38,,2020,3,23
,1594255505,1,0,1,30,179,0,298,11,24,38,,2020,3,23
,2594255505,1,0,1,30,179,0,47,11,24,38,,2020,3,23
,4594255505,1,0,1,30,179,0,274,11,24,38,,2020,3,23
,5594255505,1,0,1,30,179,0,156,11,24,38,,2020,3,23
,6594255505,1,0,1,32,392,0,214,11,24,38,,2020,3,23
,1505255505,0,0,0,39,179,0,274,11,24,38,,2020,3,24
,5505255505,0,0,0,39,176,6,390,11,24,38,,2020,3,24
,6505255505,0,0,0,39,331,0,465,11,24,38,,2020,3,24
,8415255505,1,0,0,30,189,14,478,11,14,13,,2020,3,24
,9415255505,1,0,0,30,189,24,529,11,12,13,68.0,2020,3,24
,515255505,1,0,1,30,585,0,465,11,0,13,,2020,3,24
,1515255505,1,0,1,30,189,24,529,11,24,13,,2020,3,24
,2515255505,1,0,0,30,189,0,378,11,0,13,,2020,3,24
,3515255505,1,0,1,30,189,14,304,11,14,13,70.0,2020,3,24
,4515255505,1,0,1,39,722,0,47,11,0,13,,2020,3,24
,5515255505,1,0,0,30,189,0,488,11,24,13,,2020,3,24
,6515255505,1,0,1,30,189,0,47,11,0,13,,2020,3,24
,8425255505,1,0,0,34,290,21,427,11,24,38,,2020,3,24
,9425255505,1,0,0,39,435,24,529,2,24,39,,2020,3,24
,1525255505,1,0,0,35,318,8,204,11,24,38,,2020,3,25
,4525255505,1,0,1,30,585,6,119,11,24,38,,2020,3,26
,1535255505,1,1,0,34,294,0,47,11,24,38,,2020,3,28
,4535255505,1,0,0,34,481,24,529,21,24,19,,2020,3,28
,3545255505,1,0,0,1,186,0,397,11,24,13,84.0,2020,3,31
,7545255505,1,0,0,34,530,0,47,11,24,38,,2020,4,1
,555255505,1,0,0,30,189,24,529,11,24,38,,2020,4,1
,4555255505,1,0,0,34,718,0,505,11,24,13,,2020,4,2
,5555255505,1,0,0,34,738,12,282,11,24,38,,2020,4,2
,6555255505,1,0,0,34,39,0,156,11,24,38,,2020,4,3
,7555255505,1,0,0,34,39,0,538,11,24,38,,2020,4,3
,3565255505,1,0,1,11,189,24,529,11,24,13,,2020,4,3
,4565255505,1,0,0,34,443,0,54,11,0,13,,2020,4,3
,5565255505,1,0,1,30,585,0,41,11,24,38,,2020,4,3
,6565255505,1,0,0,34,433,0,266,11,24,38,,2020,4,3
,7565255505,1,0,0,34,291,6,375,11,24,13,,2020,4,3
,575255505,1,0,0,34,186,12,395,11,12,13,30.0,2020,4,3
,1575255505,1,0,0,11,189,0,236,11,0,19,,2020,4,3
,3575255505,1,0,1,35,317,13,167,11,24,13,,2020,4,3
,4575255505,1,0,0,30,585,24,529,11,4,13,,2020,4,4
,9484355505,1,0,0,39,175,0,169,11,0,38,,2020,4,4
,584355505,1,0,1,34,386,24,529,11,24,38,,2020,4,4
,1584355505,1,0,1,39,170,24,529,11,24,38,,2020,4,4
,2584355505,1,0,1,34,386,24,529,11,24,38,,2020,4,4
,3584355505,1,0,1,39,580,24,529,11,24,38,,2020,4,4
,4584355505,1,0,0,39,112,24,529,11,24,38,,2020,4,4
,6584355505,1,0,1,34,382,24,529,11,24,38,,2020,4,5
,7584355505,1,0,1,34,433,24,529,11,24,38,,2020,4,5
,594355505,1,0,1,34,268,0,47,11,24,38,,2020,4,5
,1594355505,1,0,0,34,95,7,193,11,24,38,,2020,4,5
,2594355505,1,0,0,34,331,0,148,11,24,38,,2020,4,5
,3594355505,1,0,0,30,585,24,529,11,24,38,,2020,4,6
,4594355505,1,0,0,30,585,24,529,11,24,38,,2020,4,6
,5594355505,1,0,0,30,386,24,529,11,24,38,,2020,4,6
,6594355505,1,0,0,30,386,24,529,11,24,38,,2020,4,6
,7594355505,1,0,0,30,386,24,529,12,24,38,,2020,4,6
,8405355505,1,0,1,30,386,24,529,11,24,38,,2020,4,6
,9405355505,1,0,0,30,585,24,529,11,24,38,,2020,4,6
,505355505,1,0,0,30,189,7,529,11,24,38,,2020,4,6
,1505355505,1,0,0,30,189,0,47,11,24,38,,2020,4,6
,2505355505,1,0,0,39,386,24,529,11,24,38,,2020,4,6
,7505355505,1,0,1,11,594,7,529,11,7,13,,2020,4,7
,9415355505,1,0,1,30,10,24,529,11,24,38,,2020,4,7
,515355505,1,0,1,30,190,0,354,11,24,38,,2020,4,7
,2515355505,1,0,0,30,585,20,419,11,20,13,40.0,2020,4,7
,4515355505,1,0,0,16,388,0,47,11,24,13,,2020,4,7
,7515355505,1,0,0,30,189,0,47,11,24,40,85.0,2020,4,8
,8425355505,1,0,0,30,189,16,379,11,24,38,,2020,4,8
,9425355505,1,0,0,30,189,0,274,11,24,38,,2020,4,8
,525355505,1,1,1,32,386,24,529,11,24,38,,2020,4,8
,2525355505,1,0,0,30,189,0,41,11,24,38,,2020,4,8
,6525355505,1,0,0,30,40,20,372,11,24,38,,2020,4,9
,8435355505,1,0,0,34,39,0,47,11,24,38,,2020,4,9
,9435355505,1,0,0,34,585,0,156,11,0,13,44.0,2020,4,9
,535355505,1,0,0,34,738,0,529,11,24,38,,2020,4,9
,1535355505,1,0,0,30,695,0,330,11,24,38,,2020,4,9
,2535355505,1,0,0,30,695,0,214,11,24,38,,2020,4,9
,1545355505,1,0,0,30,585,0,156,11,24,38,,2020,4,11
,4545355505,1,0,0,30,585,24,529,11,24,38,,2020,4,11
,6545355505,1,0,0,30,186,0,165,11,24,38,,2020,4,12
,8455355505,1,0,0,35,599,0,40,11,24,38,,2020,4,12
,1555355505,1,0,0,34,189,0,206,11,0,38,,2020,4,12
,3555355505,1,0,0,30,189,0,148,11,24,38,,2020,4,13
,4555355505,1,0,1,30,267,24,529,11,24,38,,2020,4,13
,5555355505,1,0,0,30,625,24,529,11,24,38,,2020,4,13
,6555355505,1,0,1,16,427,0,403,11,24,38,,2020,4,13
,7555355505,1,0,1,30,322,24,529,11,24,38,,2020,4,13
,8465355505,1,0,0,30,585,0,461,11,0,13,44.0,2020,4,13
,565355505,1,0,0,30,267,24,529,11,24,38,,2020,4,13
,1565355505,1,0,0,30,585,24,529,11,24,10,,2020,4,13
,2565355505,1,0,1,12,76,24,529,11,24,10,,2020,4,13
,3565355505,1,0,0,30,321,0,530,11,24,38,,2020,4,13
,5565355505,1,0,1,11,745,0,170,11,24,38,,2020,4,13
,2575355505,1,0,1,30,694,0,348,11,24,21,,2020,4,14
,3575355505,1,0,0,35,556,7,105,11,24,13,40.0,2020,4,14
,6575355505,1,0,0,39,19,7,503,11,7,22,22.0,2020,4,14
,8484455505,1,0,1,11,386,24,529,11,24,38,,2020,4,15
,9484455505,1,0,1,30,701,24,529,11,24,38,,2020,4,15
,584455505,1,0,1,30,585,24,529,11,24,38,,2020,4,15
,1584455505,1,0,0,30,585,0,214,11,24,38,,2020,4,15
,4584455505,1,0,0,30,585,0,47,11,24,38,,2020,4,16
,5584455505,1,0,0,28,495,0,47,11,24,38,,2020,4,16
,6584455505,1,0,0,35,317,6,124,11,24,38,,2020,4,16
,8494455505,1,0,0,12,442,16,379,11,24,38,,2020,4,16
,4594455505,1,0,0,16,37,0,218,11,24,38,,2020,4,17
,6594455505,1,0,1,11,594,6,268,11,24,38,,2020,4,17
,7594455505,1,0,1,11,463,20,419,11,24,4,,2020,4,17
,3505455505,1,0,0,30,585,20,419,11,20,13,,2020,4,18
,8415455505,1,0,0,35,556,2,360,11,2,10,,2020,4,18
,2515455505,1,0,0,30,585,20,419,11,24,38,,2020,4,19
,3515455505,1,0,0,30,585,21,427,11,24,38,,2020,4,19
,4515455505,1,0,0,30,39,0,47,11,24,38,,2020,4,19
,7515455505,1,0,0,30,585,24,529,11,24,38,,2020,4,20
,9425455505,1,0,1,30,189,0,472,11,24,38,,2020,4,20
,525455505,1,0,1,30,189,0,388,11,24,38,,2020,4,20
,4525455505,1,0,1,30,189,0,47,11,24,38,,2020,4,20
,6525455505,1,0,1,38,613,0,47,11,24,38,,2020,4,20
,8435455505,1,0,0,30,409,0,272,11,24,38,,2020,4,20
,3535455505,1,0,0,30,189,0,64,11,0,13,,2020,4,21
,545455505,1,0,0,30,189,0,228,11,24,22,30.0,2020,4,21
,4545455505,1,0,0,34,722,0,514,11,24,38,,2020,4,21
,7545455505,1,0,0,34,566,0,47,11,0,38,,2020,4,22
,8455455505,1,0,0,34,722,0,185,11,0,38,,2020,4,22
,1555455505,1,0,0,34,56,15,385,11,24,38,,2020,4,23
,2555455505,1,0,0,30,697,0,386,11,0,26,85.0,2020,4,23
,3555455505,1,1,0,34,253,4,86,11,24,16,,2020,4,23
,5555455505,1,0,1,30,585,0,47,11,24,38,,2020,4,23
,6555455505,1,0,1,30,585,0,47,11,24,13,,2020,4,23
,9465455505,1,0,1,30,186,24,529,11,0,13,,2020,4,24
,1565455505,1,0,0,39,333,20,429,11,24,38,,2020,4,24
,5565455505,1,0,1,30,189,24,529,11,24,13,,2020,4,25
,6565455505,1,0,0,16,37,24,529,11,24,13,,2020,4,25
,9475455505,1,0,0,34,340,9,416,11,9,7,29.0,2020,4,25
,1575455505,1,1,0,34,290,16,379,11,16,1,,2020,4,25
,3575455505,1,0,1,11,386,24,529,11,24,13,75.0,2020,4,25
,4575455505,1,0,1,34,628,6,132,11,6,1,,2020,4,25
,7575455505,1,0,1,11,386,24,529,11,24,38,,2020,4,25
,8484555505,1,0,1,38,261,12,267,11,24,38,,2020,4,25
,9484555505,1,0,1,34,386,24,529,11,24,38,,2020,4,25
,3584555505,1,0,0,39,28,0,348,11,24,38,,2020,4,25
,7584555505,1,0,0,39,176,0,47,11,24,38,,2020,4,26
,9494555505,1,0,0,34,299,0,16,11,24,13,,2020,4,26
,594555505,1,0,1,30,386,24,529,11,24,38,,2020,4,27
,1594555505,1,0,1,32,189,12,282,11,24,38,,2020,4,27
,2594555505,1,0,0,30,189,0,297,11,0,19,57.0,2020,4,27
,3594555505,1,0,0,30,189,4,86,11,4,22,80.0,2020,4,27
,5594555505,1,0,0,34,506,24,529,11,6,10,,2020,4,27
,6594555505,1,0,1,30,164,0,184,11,0,13,,2020,4,27
,9405555505,1,0,0,30,585,23,102,11,23,13,31.0,2020,4,27
,505555505,1,0,0,39,175,23,406,11,24,22,,2020,4,27
,2505555505,1,0,0,30,585,6,119,11,6,19,31.0,2020,4,27
,3505555505,1,0,0,39,175,23,406,11,24,13,,2020,4,27
,4505555505,1,0,1,34,373,24,529,11,24,13,,2020,4,27
,5505555505,1,0,1,39,174,16,379,11,24,13,,2020,4,27
,6505555505,1,0,1,1,681,0,228,11,24,13,,2020,4,28
,7505555505,1,0,1,10,580,24,529,11,24,13,,2020,4,28
